,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,-0.5250030116311213,0.952169145123698,-1.3779792945891394,-0.5529601475663627,-0.2502803710195103,-0.46440998466329214,-0.36706577259145917,0.5900827647514862,1.2741542707410867,-0.6201381459672233,-0.9876379431760416,-1.0734699385540412
1,-0.29748933902886393,1.9523273251976756,-1.3779792945891394,0.18246965271059426,0.8436745010650851,0.9361615168955606,0.6881388171135827,0.05186290756897702,-0.7762193378336351,0.23909672133810944,-0.6112546196276347,-1.0734699385540412
2,-0.29748933902886393,1.2855552051483574,-1.1700924414075067,-0.1327145474081018,0.5453231723147408,-0.06424669850361993,0.27245216056311167,0.15950687900546692,-0.3793728329482071,0.02428800451177607,-0.6112546196276347,-1.0734699385540412
3,1.6363768780903256,-1.3815332750489158,1.5324366499537163,-0.5529601475663627,-0.300005592477901,0.1358349445762162,0.46430754050948286,0.6977267361879762,-1.0407836744239223,-0.47693233474966845,-0.6112546196276347,0.9309507871503986
4,-0.5250030116311213,0.952169145123698,-1.3779792945891394,-0.5529601475663627,-0.2502803710195103,-0.46440998466329214,-0.36706577259145917,0.5900827647514862,1.2741542707410867,-0.6201381459672233,-0.9876379431760416,-1.0734699385540412
5,-0.5250030116311213,0.7299117717739256,-1.3779792945891394,-0.6580215476059279,-0.300005592477901,-0.26432834158345603,-0.17521039264508792,0.5900827647514862,1.2741542707410867,-0.6201381459672233,-0.9876379431760416,-1.0734699385540412
6,-0.24061092087829924,0.39652571174926615,-1.0661490148166906,-0.8681443476850583,-0.5983569212282447,-0.06424669850361993,0.4323316438517543,-0.16342503530406255,-0.11480849635791988,-1.3361672020550008,-0.9876379431760416,-1.0734699385540412
7,-0.581881429781686,0.6743474284364823,-1.3779792945891394,-1.2883899478433194,-0.7972578070618076,-0.06424669850361993,-0.7827524291419301,-1.1322207782325315,0.4804612609702279,-1.2645642964462234,-0.4230629578534322,0.9309507871503986
8,-0.29748933902886393,0.28539702507437964,-1.274035867998323,-0.44789874752679737,-0.39945603539468244,-0.6644916277431283,-0.8786801191151158,0.05186290756897702,0.282038008527511,-0.5485352403584463,-0.8935421122889403,0.9309507871503986
9,-0.46812459348055707,-0.15911772162516566,0.4930023840455533,3.8596186540953776,-0.49890647831146395,0.1358349445762162,1.8072952001340816,0.5900827647514862,0.21589692437994065,1.0983315886434422,0.04741619658207591,-1.0734699385540412
10,-0.9231519386850722,0.28539702507437964,-0.9622055882258742,-0.6580215476059279,0.7939492796066937,-0.06424669850361993,0.6241870237981256,-0.4325349638952873,-0.2470906646530635,-0.7633439571847789,-1.175829604950246,-1.0734699385540412
11,-0.46812459348055707,-0.15911772162516566,0.4930023840455533,3.8596186540953776,-0.49890647831146395,0.1358349445762162,1.8072952001340816,0.5900827647514862,0.21589692437994065,1.0983315886434422,0.04741619658207591,-1.0734699385540412
12,-1.548814538341281,0.479872226755431,-1.3779792945891394,-0.8681443476850583,0.39614750793956927,0.035794123036298135,0.4323316438517543,-1.293686735387326,1.7371418597740909,-0.9065497684023344,-0.5171587887405334,-1.0734699385540412
